"student_id","cohort_hs_grad","hs_gpa","frpl","dual_credit_flag","hs_diploma_type"
"STU000001",2016,2.86265857606777,0,0,"Standard"
"STU000002",2016,2.89735465274405,0,1,"Standard"
"STU000003",2016,2.67438238138888,1,0,"Standard"
"STU000004",2016,2.69398231190087,0,0,"Standard"
"STU000005",2016,2.23595868303745,1,0,"NonCompletion"
"STU000006",2016,2.66086245169511,0,0,"Standard"
"STU000007",2016,2.94507629515611,1,0,"NonCompletion"
"STU000008",2016,3.95512540088177,0,0,"Advanced"
"STU000009",2016,3.4846568244234,0,0,"Standard"
"STU000010",2016,3.2399295240133,0,1,"Standard"
"STU000011",2016,2.49865961685305,1,0,"NonCompletion"
"STU000012",2016,2.82926096604077,0,0,"Standard"
"STU000013",2016,2.81376326228687,1,1,"Standard"
"STU000014",2016,3.19412323514031,0,0,"Standard"
"STU000015",2016,2.38316784359187,0,0,"Standard"
"STU000016",2016,2.23745423002642,0,0,"Standard"
"STU000017",2016,3.05082394409659,0,1,"Standard"
"STU000018",2016,3.26373088171392,0,0,"Standard"
"STU000019",2016,1.70558532910587,0,0,"NonCompletion"
"STU000020",2016,2.40276152719822,0,0,"Standard"
"STU000021",2016,1.97202899796945,1,0,"NonCompletion"
"STU000022",2016,2.6550249254456,1,0,"NonCompletion"
"STU000023",2016,3.08640101036053,1,0,"Standard"
"STU000024",2016,2.52189278790412,0,0,"Standard"
"STU000025",2016,NA,0,1,"NonCompletion"
"STU000026",2016,2.98278161133836,1,0,"Standard"
"STU000027",2016,2.69081042312135,1,0,"Standard"
"STU000028",2016,1.86347158841539,0,0,"NonCompletion"
"STU000029",2016,1.8235382314461,0,0,"Standard"
"STU000030",2016,3.14038449589298,0,0,"Standard"
"STU000031",2016,3.45427634927451,0,0,"Standard"
"STU000032",2016,2.28321124824752,1,0,"Standard"
"STU000033",2016,2.8246716799187,0,1,"Standard"
"STU000034",2016,2.53819810581804,1,0,"Standard"
"STU000035",2016,3.39854483593934,0,0,"Standard"
"STU000036",2016,2.12710485524787,1,0,"Standard"
"STU000037",2016,2.53214334226221,1,0,"Standard"
"STU000038",2016,1.55136556278123,0,1,"Standard"
"STU000039",2016,2.88568599282274,0,1,"Standard"
"STU000040",2016,2.66555491627307,1,0,"NonCompletion"
"STU000041",2016,2.89941374425565,0,0,"Standard"
"STU000042",2016,3.49342432708877,0,0,"Standard"
"STU000043",2016,2.60083339552667,1,0,"Standard"
"STU000044",2016,2.49697504248835,0,0,"Standard"
"STU000045",2016,3.07959660115122,1,0,"Standard"
"STU000046",2016,3.07544236636213,0,1,"Standard"
"STU000047",2016,2.91577185510491,0,0,"Standard"
"STU000048",2016,2.69407239701678,0,0,"Standard"
"STU000049",2016,2.80152520470904,1,1,"Standard"
"STU000050",2016,3.42635310465923,0,0,"Standard"
"STU000051",2016,2.61463247118822,0,0,"Standard"
"STU000052",2016,2.96564138544484,0,1,"Standard"
"STU000053",2016,2.86172397987079,0,0,"NonCompletion"
"STU000054",2016,2.88273370569299,0,0,"Standard"
"STU000055",2016,2.57825059909158,1,0,"Standard"
"STU000056",2016,2.39438768942086,0,1,"Standard"
"STU000057",2016,3.19605048910792,0,1,"Standard"
"STU000058",2016,2.46981885729724,1,1,"Standard"
"STU000059",2016,3.52272075802653,0,0,"Advanced"
"STU000060",2016,2.4720737579015,0,0,"Standard"
"STU000061",2016,3.18232228950965,1,1,"Standard"
"STU000062",2016,2.26074415964425,0,0,"NonCompletion"
"STU000063",2016,2.91005097011145,0,1,"Standard"
"STU000064",2016,2.05269480059732,1,0,"Standard"
"STU000065",2016,3.01698556541331,1,0,"Standard"
"STU000066",2016,2.40109755359755,0,0,"Standard"
"STU000067",2016,2.58909043507601,0,0,"NonCompletion"
"STU000068",2016,3.27962035483575,0,1,"Standard"
"STU000069",2016,2.66316180695482,0,1,"Standard"
"STU000070",2016,3.12115539827581,1,0,"Standard"
"STU000071",2016,3.00583357506803,0,0,"Standard"
"STU000072",2016,2.76645038810858,1,0,"Standard"
"STU000073",2016,2.53433557980525,0,0,"Standard"
"STU000074",2016,2.39664353599256,1,0,"Standard"
"STU000075",2016,3.0398795322609,1,0,"Standard"
"STU000076",2016,2.73592719727372,1,0,"Standard"
